key-for-ranking,Metro_2013,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016
45073,0.0,6.9,7.3,13.3,11.4,10.0,8.8,7.7,6.3,5.8,5.2
45075,0.0,8.1,10.1,15.3,15.9,15.8,14.3,12.4,11.4,10.9,8.9
45077,1.0,5.1,6.0,10.5,10.9,9.9,9.0,7.4,6.3,5.8,5.0
45079,1.0,5.2,6.1,9.2,9.4,9.2,8.2,6.9,6.0,5.7,4.8
45081,1.0,5.3,6.0,9.5,10.0,9.8,8.5,6.9,5.7,5.2,4.6
45083,1.0,5.6,6.8,11.9,11.8,10.9,9.4,7.7,6.4,5.7,4.7
45085,1.0,7.0,8.3,12.3,12.5,12.1,10.7,8.7,7.3,6.9,5.9
45087,1.0,9.0,10.8,19.2,17.7,16.0,13.6,11.3,8.6,7.9,6.2
45089,0.0,9.0,10.4,14.5,17.2,16.7,15.8,12.5,10.0,9.2,7.8
45091,1.0,5.4,7.0,13.5,12.1,10.9,9.3,7.7,6.3,5.5,4.6
46000,,2.8,3.1,4.9,5.0,4.7,4.3,3.8,3.4,3.1,3.0
46003,0.0,2.9,3.1,4.4,3.5,3.2,3.0,2.7,2.6,2.2,2.2
46005,0.0,2.4,2.5,3.7,4.2,3.8,3.5,3.6,3.1,2.6,2.6
46007,0.0,4.0,4.0,5.4,7.2,7.3,6.8,6.4,5.5,5.0,3.9
46009,0.0,3.8,3.4,5.4,4.2,5.0,3.9,3.2,2.8,2.7,2.7
46011,0.0,2.2,2.4,3.8,4.7,4.4,3.9,3.4,3.2,2.9,2.7
46013,0.0,2.3,2.5,3.6,3.9,3.9,3.6,3.3,2.9,2.7,2.7
46015,0.0,2.6,2.7,3.5,3.7,4.0,3.6,3.4,3.3,2.7,2.5
46017,0.0,11.0,10.2,15.1,11.3,10.3,9.7,8.8,7.8,7.0,8.3
46019,0.0,2.7,2.8,5.1,5.1,4.9,4.7,3.9,3.4,3.4,3.4
46021,0.0,3.1,2.9,4.2,4.3,3.9,3.6,3.6,3.3,2.9,2.9
46023,0.0,3.3,3.5,4.9,4.9,5.0,5.0,4.3,3.8,3.4,3.2
46025,0.0,3.6,3.9,5.7,5.2,4.8,4.3,3.9,3.9,3.6,3.9
46027,0.0,2.5,2.8,4.0,4.2,4.0,3.8,3.7,3.5,3.1,3.0
46029,0.0,2.6,3.0,6.2,5.2,4.6,3.9,3.6,3.3,3.1,3.1
46031,0.0,5.6,5.1,6.6,6.9,7.5,8.0,6.9,5.8,5.1,4.5
46033,1.0,2.8,2.8,4.2,5.8,5.6,5.4,5.1,4.6,4.2,4.0
46035,0.0,2.4,2.6,4.8,4.4,3.9,3.3,3.1,2.8,2.5,2.4
46037,0.0,4.8,4.4,7.0,6.7,6.5,5.8,5.3,5.3,5.0,4.2
46039,0.0,3.5,3.8,6.0,6.7,6.1,5.9,5.6,5.4,4.9,4.9
46041,0.0,9.6,9.2,11.0,14.9,16.2,16.0,15.5,14.5,11.5,9.0
46043,0.0,2.5,2.7,4.2,4.4,4.1,3.4,3.2,2.9,2.5,2.5
46045,0.0,2.5,2.8,3.5,3.1,3.3,3.0,2.8,2.6,2.5,2.3
46047,0.0,3.2,3.4,6.0,6.2,6.0,5.7,5.0,4.7,4.4,4.4
46049,0.0,3.1,3.0,3.5,3.9,4.2,4.0,3.3,3.2,2.6,2.6
46051,0.0,3.4,3.6,4.7,4.6,4.8,4.4,4.2,3.6,3.0,3.2
46053,0.0,3.2,3.4,4.1,4.4,4.6,4.4,3.9,3.4,3.2,3.0
46055,0.0,2.5,2.6,3.7,3.4,3.7,3.2,2.9,2.8,2.3,2.4
46057,0.0,2.8,3.3,5.4,5.0,4.5,3.9,3.4,3.5,3.3,3.3
46059,0.0,2.7,2.6,3.1,3.3,3.3,3.1,2.7,2.6,2.3,2.1
46061,0.0,3.0,3.1,4.5,5.3,4.8,4.6,4.2,3.5,3.3,3.4
46063,0.0,2.5,2.7,3.1,3.5,4.0,3.7,2.9,2.3,2.4,2.9
46065,0.0,2.3,2.4,3.2,3.5,3.6,3.3,2.9,2.6,2.4,2.4
46067,0.0,3.0,3.1,4.2,4.0,3.8,3.5,3.3,2.9,2.5,2.5
46069,0.0,3.3,2.8,3.9,3.8,3.7,3.5,3.4,2.8,2.8,2.7
46071,0.0,5.3,5.8,6.9,6.8,7.5,7.0,6.2,5.4,4.3,4.1
46073,0.0,2.4,2.4,3.1,3.7,3.6,3.1,3.1,2.5,2.2,2.4
46075,0.0,2.1,2.5,3.2,3.0,3.3,3.8,3.6,3.6,2.9,2.3
46077,0.0,2.8,3.3,5.3,5.4,4.4,3.6,3.2,3.0,2.9,2.6
46079,0.0,2.9,3.2,6.4,5.7,5.0,4.2,3.9,3.6,3.6,3.4
46081,0.0,2.5,2.9,4.4,4.7,4.8,4.5,3.9,3.5,3.3,3.3
46083,1.0,2.3,2.5,4.3,3.9,3.6,3.2,2.7,2.4,2.2,2.2
46085,0.0,4.3,4.5,6.0,6.5,6.4,5.9,4.8,4.2,4.7,4.7
46087,1.0,2.7,3.5,5.4,4.9,4.4,3.8,3.2,2.7,2.4,2.5
46089,0.0,4.2,4.2,5.3,4.9,4.5,4.6,3.8,3.9,3.3,3.4
46091,0.0,4.2,4.4,6.6,5.4,5.6,4.8,4.4,4.1,3.8,3.9
46093,1.0,2.8,3.1,5.0,5.3,4.9,4.4,3.8,3.4,3.2,3.1
46095,0.0,4.4,4.4,7.1,6.3,6.4,7.8,7.6,6.1,5.1,4.2
46097,0.0,3.5,3.4,5.3,5.0,4.5,3.7,3.7,3.2,2.4,2.7
46099,1.0,2.5,2.8,5.0,5.0,4.5,4.0,3.3,3.0,2.7,2.6
46101,0.0,3.7,4.3,6.7,7.0,6.4,5.5,4.6,4.1,3.4,3.7
46102,0.0,7.8,8.4,10.9,12.9,14.2,14.2,13.5,13.3,11.5,10.7
46103,1.0,2.7,2.9,4.9,5.2,4.8,4.4,3.9,3.4,3.2,3.1
46105,0.0,2.9,3.1,4.2,4.2,4.3,4.0,3.7,3.4,3.2,2.9
46107,0.0,2.9,3.1,3.7,4.9,5.3,4.0,3.8,3.3,3.2,2.7
46109,0.0,4.0,4.2,6.0,5.8,6.7,5.7,5.2,4.8,4.3,4.1
46111,0.0,2.4,2.7,4.0,4.2,4.2,3.5,3.0,2.5,2.5,3.0
46115,0.0,3.2,3.3,4.2,3.8,4.2,4.1,3.6,3.5,3.1,3.1
46117,0.0,2.3,2.5,3.2,3.8,4.0,3.0,2.8,2.6,2.4,2.4
46119,0.0,2.2,2.2,3.0,3.6,3.8,3.1,3.0,2.8,2.5,2.3
46121,0.0,5.7,6.4,7.2,7.7,8.5,9.7,9.8,8.7,7.4,6.4
